title,url,price,rating,reviews,packsize,protocal,sense_temp,sense_motion,sense_humidity,sense_uv,sense_light,sense_vibration,sense_plant,sense_door,total_sensors,adjprice,pps,sensors
"Centralite Micro Door Sensor (Works with SmartThings, Wink, Vera, and ZigBee platforms)",/Centralite-Sensor-SmartThings-ZigBee-platforms/dp/B071YQCWQM/ref=sr_1_20?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-20,18.990499999999997,4.3,339.0,1.0,zigbee,False,False,False,False,False,False,False,True,1,18.990499999999997,18.990499999999997,['door']
"Ecolink Wireless Door/Window Contact Zigbee Wireless Door/Window Contact, White (4655BC0-R)",/Ecolink-Wireless-Window-Contact-4655BC0-R/dp/B07HN5CZCX/ref=sr_1_21?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-21,13.8415,4.1,102.0,1.0,zigbee,False,False,False,False,False,False,False,True,1,13.8415,13.8415,['door']
"Aqara Temperature and Humidity Sensor, REQUIRES AQARA HUB, Zigbee Connection, for Remote Monitoring and Smart Home Automation, Wireless Thermometer Hygrometer, Compatible with Apple HomeKit, Alexa",/Aqara-WSDCGQ11LM-Temperature-Humidity-Sensor/dp/B07D37FKGY/ref=sr_1_22?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-22,18.040499999999998,4.3,345.0,1.0,zigbee,True,False,True,False,False,False,False,False,2,18.040499999999998,9.020249999999999,"['temp,humidity']"
"Ecolink PET Immune Motion Detector Zigbee PET Immune Motion Detector, White (PIRZB1-ECO)",/Ecolink-Immune-Motion-Detector-PIRZB1-ECO/dp/B07HNF2TDJ/ref=sr_1_25?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-25,37.9905,3.3,6.0,1.0,zigbee,False,True,False,False,False,False,False,False,1,37.9905,37.9905,['motion']
"Aqara Door and Window Sensor, REQUIRES AQARA HUB, Zigbee Connection, Wireless Mini Contact Sensor for Alarm System and Smart Home Automation, Compatible with Apple HomeKit, Alexa",/Aqara-MCCGQ11LM-Window-Sensor-White/dp/B07D37VDM3/ref=sr_1_28?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-28,17.0905,4.5,394.0,1.0,zigbee,False,False,False,False,False,False,False,True,1,17.0905,17.0905,['door']
Nyce NCZ-3043-HA ZigBee Ceiling Motion Sensor,/NYCE-NCZ-3043-HA-ZigBee-Ceiling-Motion/dp/B00X871DB2/ref=sr_1_29?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-29,49.3715,4.6,21.0,1.0,zigbee,False,True,False,False,False,False,False,False,1,49.3715,49.3715,['motion']
"Aqara Temperature and Humidity Sensor, REQUIRES AQARA HUB, Zigbee Connection, for Remote Monitoring and Smart Home Automation, Wireless Thermometer Hygrometer, Compatible with Apple HomeKit, Alexa",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03167632Y02Z3QEBEFCD&url=%2FAqara-WSDCGQ11LM-Temperature-Humidity-Sensor%2Fdp%2FB07D37FKGY%2Fref%3Dsr_1_31_sspa%3Fdchild%3D1%26keywords%3Dmotion%2Bsensor%2Bzigbee%26qid%3D1612629142%26sr%3D8-31-spons%26psc%3D1&qualifier=1612629142&id=1325610365621623&widgetName=sp_mtf,18.040499999999998,4.3,345.0,1.0,zigbee,True,False,True,False,False,False,False,False,2,18.040499999999998,9.020249999999999,"['temp,humidity']"
"Ecolink Z-Wave PIR Motion Detector Pet Immune, White - PIRZWAVE2.5-ECO",/Z-wave-Detector-install-Immunity-PIRZWAVE2-5-ECO/dp/B01MQXXG0I/ref=sr_1_33?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-33,37.05,4.3,455.0,1.0,zwave,False,True,False,False,False,False,False,False,1,37.05,37.05,['motion']
"Z-wave Plus Rare Earth Magnets Door & Window Sensor, White & Brown (DWZWAVE2.5-ECO)",/Z-Wave-Magnets-Window-Sensor-DWZWAVE2-5-ECO/dp/B01N5HB4U5/ref=sr_1_36?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-36,27.683,4.5,607.0,1.0,zwave,False,False,False,False,False,False,False,True,1,27.683,27.683,['door']
"2-Pack SONOFF SNZB-04 ZigBee Wireless Door/Window Sensor, Home Security System Wireless Sensor Alarms, Compatible with Alexa, Google Assistant, SONOFF Zigbee Bridge Required",/Wireless-Security-Compatible-Assistant-Required/dp/B08Q49CG43/ref=sr_1_37?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-37,27.4455,5.0,1.0,2.0,zigbee,False,False,False,False,False,False,False,True,1,13.72275,13.72275,['door']
